0. Iteration: Error: Max: 0.68612201,  L2: 0.37924465 T= 4.49285901
1. Iteration: Error: Max: 0.43357047,  L2: 0.22545531 T= 3.87686706
2. Iteration: Error: Max: 0.25500858,  L2: 0.12849871 T= 3.84670496
3. Iteration: Error: Max: 0.14372206,  L2: 0.07165167 T= 3.81696796
4. Iteration: Error: Max: 0.07914290,  L2: 0.03958002 T= 3.80593705
5. Iteration: Error: Max: 0.04306563,  L2: 0.02183446 T= 3.84563005
6. Iteration: Error: Max: 0.02331463,  L2: 0.01209857 T= 3.73050189
7. Iteration: Error: Max: 0.01280157,  L2: 0.00676564 T= 3.66333890
8. Iteration: Error: Max: 0.00852393,  L2: 0.00383460 T= 3.84694302
9. Iteration: Error: Max: 0.00572987,  L2: 0.00221124 T= 4.45673907
10. Iteration: Error: Max: 0.00387225,  L2: 0.00130137 T= 3.79666698
11. Iteration: Error: Max: 0.00262599,  L2: 0.00078310 T= 3.59768498
12. Iteration: Error: Max: 0.00178375,  L2: 0.00048196 T= 3.71746099
13. Iteration: Error: Max: 0.00121374,  L2: 0.00030298 T= 3.44159901
14. Iteration: Error: Max: 0.00082632,  L2: 0.00019408 T= 3.89792097
15. Iteration: Error: Max: 0.00056292,  L2: 0.00012633 T= 3.76075506
16. Iteration: Error: Max: 0.00038371,  L2: 0.00008334 T= 3.71439803
17. Iteration: Error: Max: 0.00026169,  L2: 0.00005561 T= 4.39288294
18. Iteration: Error: Max: 0.00017855,  L2: 0.00003750 T= 3.76470399
19. Iteration: Error: Max: 0.00012190,  L2: 0.00002557 T= 4.01031101
20. Iteration: Error: Max: 0.00008331,  L2: 0.00001766 T= 3.49671805
21. Iteration: Error: Max: 0.00005703,  L2: 0.00001242 T= 3.75066900
22. Iteration: Error: Max: 0.00003913,  L2: 0.00000896 T= 3.79145205
23. Iteration: Error: Max: 0.00002695,  L2: 0.00000670 T= 3.74515998
24. Iteration: Error: Max: 0.00001868,  L2: 0.00000526 T= 3.58263600
25. Iteration: Error: Max: 0.00001306,  L2: 0.00000436 T= 4.20031404
26. Iteration: Error: Max: 0.00000928,  L2: 0.00000381 T= 3.72203100
27. Iteration: Error: Max: 0.00000781,  L2: 0.00000349 T= 3.52020097
28. Iteration: Error: Max: 0.00000767,  L2: 0.00000329 T= 3.64282608
29. Iteration: Error: Max: 0.00000758,  L2: 0.00000317 T= 3.60192704
30. Iteration: Error: Max: 0.00000752,  L2: 0.00000310 T= 3.79917502
31. Iteration: Error: Max: 0.00000749,  L2: 0.00000306 T= 3.55265403
32. Iteration: Error: Max: 0.00000746,  L2: 0.00000303 T= 3.85006797
33. Iteration: Error: Max: 0.00000745,  L2: 0.00000301 T= 4.15141296
34. Iteration: Error: Max: 0.00000744,  L2: 0.00000300 T= 3.70829999
35. Iteration: Error: Max: 0.00000743,  L2: 0.00000299 T= 3.62128890
36. Iteration: Error: Max: 0.00000743,  L2: 0.00000299 T= 3.47896802
